Actual v1/v2,Predicted v1/v2
16.6667,21.340612
15.0,15.374126
13.6364,15.608599
12.5,20.707396
11.5385,13.516203
10.7143,12.003999
10.0,11.859139
9.375,10.708443
8.82353,9.380194
8.33333,10.554598
7.89474,9.168786
7.5,8.5714
160.0,145.23434
80.0,80.018936
53.3333,57.253273
40.0,40.03999
32.0,36.626457
26.6667,30.829542
22.8571,27.242304
20.0,23.368362
17.7778,19.740084
16.0,16.560308
14.5455,18.069712
13.3333,12.109949
12.3077,13.332803
11.4286,13.438775
10.6667,11.640869
10.0,10.510039
9.41176,11.27794
8.88889,10.350248
8.42105,11.081382
8.0,9.052823
170.0,178.84747
85.0,78.92188
56.6667,58.863457
42.5,42.713753
34.0,35.732494
28.3333,30.174358
24.2857,24.002205
21.25,24.839897
18.8889,20.757504
17.0,18.289438
15.4545,17.397734
14.1667,15.578352
13.0769,14.811824
12.1429,12.365699
11.3333,12.580274
10.625,12.264621
10.0,12.046927
9.44444,12.879957
8.94737,11.247194
8.5,9.529387
180.0,189.37955
90.0,98.64046
60.0,65.4148
45.0,47.088047
36.0,39.87913
30.0,32.100933
25.7143,26.315344
22.5,25.468864
20.0,21.257702
18.0,18.816923
16.3636,22.652695
15.0,15.561512
13.8462,16.416956
12.8571,14.403497
12.0,13.466562
11.25,13.448776
10.5882,13.0768385
10.0,11.263855
9.47368,10.489081
9.0,10.243236
190.0,193.45778
95.0,105.92155
63.3333,65.13402
47.5,48.915993
38.0,39.582386
31.6667,36.380337
27.1429,29.76306
23.75,26.078
21.1111,21.475712
19.0,16.834496
17.2727,18.725128
15.8333,17.860205
14.6154,15.746834
13.5714,16.073828
12.6667,14.429733
11.875,14.568319
11.1765,11.430012
10.5556,12.743207
10.0,11.397748
9.5,10.443209
200.0,194.35463
100.0,106.7717
66.6667,80.14311
50.0,56.820534
40.0,44.341293
33.3333,35.54094
28.5714,31.946804
25.0,27.251167
22.2222,25.50408
20.0,18.158024
18.1818,16.423147
16.6667,17.471037
15.3846,16.581543
14.2857,16.236387
13.3333,13.328527
12.5,15.44031
11.7647,13.859414
11.1111,11.444009
10.5263,12.393975
10.0,11.638255
